名次,电影名称,日期,总场次,废场,人次,上座率,票价
281,奇幻森林,20160416,29013,3793,133.36万,25.11%,45.9
282,夏洛特烦恼,20151005,17965,712,155.51万,59.15%,39.2
283,煎饼侠,20150717,19679,1014,157.12万,53.64%,38.7
284,捉妖记,20150725,16230,671,128.06万,43.62%,47.5
285,摔跤吧！爸爸,20170516,45239,8358,196.25万,49.35%,30.9
286,老炮儿,20160102,17547,0,150.08万,58.03%,40.4
287,爱情公寓,20180811,38360,28875,164.22万,31.49%,36.9
288,盗墓笔记,20160807,32791,3173,133.83万,23.73%,45.1
289,寒战2,20160708,23825,2605,133.29万,31.22%,45.1
290,悟空传,20170722,32097,5081,161.32万,38.58%,37.3
291,速度与激情8,20170422,48567,44183,149.4万,30.48%,40.2
292,黑豹,20180310,32886,42206,160.22万,30.73%,37.5
293,复仇者联盟3：无限战争,20180515,56760,78288,156.97万,19.01%,38.2
294,寒战2,20160709,22409,3144,129.05万,33.2%,46.5
295,寻龙诀,20151225,15762,954,119.97万,46.81%,49.9
296,哪吒之魔童降世,20190727,42343,80535,151.62万,23.74%,39.4
297,美人鱼,20160218,28912,1250,133.3万,25.39%,44.7
298,黑豹,20180309,34791,40275,159.85万,28.58%,37.3
299,我和我的祖国,20191004,32486,95781,145.48万,31.08%,40.9
300,速度与激情7,20150416,27503,1870,124.72万,27.7%,47.5
301,唐人街探案,20160102,20353,0,151.9万,51.2%,39
302,中国机长,20191001,28176,74585,147.73万,42.6%,40.1
303,疯狂动物城,20160320,24656,1206,132.85万,35.45%,44.5
304,阿丽塔：战斗天使,20190224,43144,84859,140.9万,20.79%,41.8
305,父子雄兵,20170721,39412,9689,168.11万,49.22%,35
306,唐人街探案2,20180223,28994,43165,149.41万,36.75%,39.3
307,摔跤吧！爸爸,20170529,30448,5395,187.21万,92.23%,31.4
308,红海行动,20180219,20221,30732,136.06万,52.85%,43.1
309,西虹市首富,20180804,38861,44965,159.73万,27.02%,36.6
310,西虹市首富,20180801,46180,48582,163.98万,25%,35.7
311,变形金刚5：最后的骑士,20170703,42212,17655,163.16万,41.69%,35.8
312,神偷奶爸3,20170714,38253,6367,168.6万,59.57%,34.7
313,唐人街探案,20151231,20027,1040,153.36万,52.01%,38
314,北京遇上西雅图之不二情书,20160429,25749,4308,145.85万,33.43%,40
315,建军大业,20170731,41198,10590,176.36万,37.47%,33
316,霍比特人3：去而复归,20150124,14264,733,111.46万,43.36%,52
317,羞羞的铁拳,20171008,40828,36170,165.16万,25.24%,35.1
